Query: 1
url=https://www.weather.gov/ numWords=616 numTitleWords=3 numOutLinks=70 numTitleMatch=1 numBodyMatch=14 pageRank=4.30492e-06 cheiRank=2.24669e-08 community=0 communityCount=27793988 rankingScore=30.9733
url=https://www.spc.noaa.gov/products/outlook/ numWords=286 numTitleWords=5 numOutLinks=1 numTitleMatch=0 numBodyMatch=2 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=10.3152
url=https://www.spc.noaa.gov/ numWords=707 numTitleWords=4 numOutLinks=3 numTitleMatch=0 numBodyMatch=15 pageRank=2.10347e-07 cheiRank=3.50909e-08 community=0 communityCount=27793988 rankingScore=19.6726
url=https://www.weather.gov/epz/ numWords=575 numTitleWords=3 numOutLinks=41 numTitleMatch=0 numBodyMatch=14 pageRank=1.145e-08 cheiRank=4.18716e-08 community=0 communityCount=27793988 rankingScore=18.9683
url=https://weather.com/ numWords=752 numTitleWords=17 numOutLinks=4 numTitleMatch=4 numBodyMatch=5 pageRank=1.19536e-06 cheiRank=1.84479e-08 community=0 communityCount=27793988 rankingScore=33.9731
url=https://www.unisainc.com/borrower/Blog numWords=623 numTitleWords=1 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.82056e-08 community=0 communityCount=27793988 rankingScore=7.66086 
url=https://ifttt.com/applets/dkmEq8ev-space-report numWords=231 numTitleWords=3 numOutLinks=9 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71553e-08 community=0 communityCount=27793988 rankingScore=8.09803 
url=https://ifttt.com/applets/iKNP9ASs-sunset-reminder numWords=232 numTitleWords=3 numOutLinks=9 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71553e-08 community=0 communityCount=27793988 rankingScore=8.10018 
url=https://support.apple.com/en-afri/guide/macbook-pro/apda10a4734c/2019/mac/10.14.5 numWords=443 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.23919 
url=https://support.apple.com/en-afri/guide/macbook-pro/apda10a4734c/2019/mac/10.15 numWords=458 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.2558 
url=https://support.apple.com/en-afri/guide/macbook-pro/apda10a4734c/2020/mac/10.15.4 numWords=465 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.26337 
url=https://support.apple.com/en-mide/guide/macbook-pro/apda10a4734c/2020/mac/10.15.4 numWords=466 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.26444 
url=https://www.kendallsquare.org numWords=552 numTitleWords=2 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.66964e-08 cheiRank=2.38441e-08 community=0 communityCount=27793988 rankingScore=8.26579 
url=https://support.apple.com/en-afri/guide/macbook-pro/apda10a4734c/2022/mac/12.4 numWords=505 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.30454 
url=https://ifttt.com/applets/ewjfKqEy-wyze-motion-detected numWords=228 numTitleWords=4 numOutLinks=10 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.75822e-08 community=0 communityCount=27793988 rankingScore=8.33457 
Query: 3
url=https://www.theverge.com/tech numWords=1377 numTitleWords=4 numOutLinks=8 numTitleMatch=1 numBodyMatch=8 pageRank=1.39325e-08 cheiRank=0 community=0 communityCount=0 rankingScore=23.6242
url=https://techcrunch.com/ numWords=738 numTitleWords=12 numOutLinks=8 numTitleMatch=2 numBodyMatch=2 pageRank=1.16495e-05 cheiRank=0 community=0 communityCount=0 rankingScore=30.4011
url=https://www.cnn.com/business/tech numWords=1004 numTitleWords=4 numOutLinks=77 numTitleMatch=1 numBodyMatch=6 pageRank=9.40928e-09 cheiRank=1.72468e-08 community=0 communityCount=27793988 rankingScore=22.6605
url=https://nearform.com/ numWords=226 numTitleWords=1 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=2.49503e-08 cheiRank=1.86757e-08 community=0 communityCount=27793988 rankingScore=7.25956 
